ndc_clean,ndc_orig,rxcui,drug_name,img_path,shape,colors,imprint,size_mm,pill_id
93031101,00093-0311-01,978006,LOPERAMIDE HYDROCHLORIDE 2 MG ORAL CAPSULE,rximage/image/images/gallery/1024/00093-0311-01_RXNAVIMAGE10_26211358.jpg,,[],,,261
93031101,00093-0311-01,978006,LOPERAMIDE HYDROCHLORIDE 2 MG ORAL CAPSULE,rximage/image/images/gallery/1024/00093-0311-01_RXNAVIMAGE10_6315B1FD.jpg,,[],,,261
93316501,00093-3165-01,197985,MINOCYCLINE 50 MG ORAL CAPSULE,rximage/image/images/gallery/1024/00093-3165-01_RXNAVIMAGE10_19270CA8.jpg,,[],,,373
93316501,00093-3165-01,197985,MINOCYCLINE 50 MG ORAL CAPSULE,rximage/image/images/gallery/1024/00093-3165-01_RXNAVIMAGE10_36231B28.jpg,,[],,,373
93081001,00093-0810-01,198045,NORTRIPTYLINE 10 MG ORAL CAPSULE,rximage/image/images/gallery/1024/00093-0810-01_RXNAVIMAGE10_24231228.jpg,,[],,,290
93081001,00093-0810-01,198045,NORTRIPTYLINE 10 MG ORAL CAPSULE,rximage/image/images/gallery/1024/00093-0810-01_RXNAVIMAGE10_34271A58.jpg,,[],,,290
93081101,00093-0811-01,317136,NORTRIPTYLINE 25 MG ORAL CAPSULE,rximage/image/images/gallery/1024/00093-0811-01_RXNAVIMAGE10_15270A98.jpg,,[],,,291
93081101,00093-0811-01,317136,NORTRIPTYLINE 25 MG ORAL CAPSULE,rximage/image/images/gallery/1024/00093-0811-01_RXNAVIMAGE10_20231018.jpg,,[],,,291
93081201,00093-0812-01,198046,NORTRIPTYLINE 50 MG ORAL CAPSULE,rximage/image/images/gallery/1024/00093-0812-01_RXNAVIMAGE10_2D2316D8.jpg,,[],,,292
93081201,00093-0812-01,198046,NORTRIPTYLINE 50 MG ORAL CAPSULE,rximage/image/images/gallery/1024/00093-0812-01_RXNAVIMAGE10_DD0E6EE3.jpg,,[],,,292
93081301,00093-0813-01,198047,NORTRIPTYLINE 75 MG ORAL CAPSULE,rximage/image/images/gallery/1024/00093-0813-01_RXNAVIMAGE10_2D2316A8.jpg,,[],,,293
93081301,00093-0813-01,198047,NORTRIPTYLINE 75 MG ORAL CAPSULE,rximage/image/images/gallery/1024/00093-0813-01_RXNAVIMAGE10_D626EB47.jpg,,[],,,293
781207401,00781-2074-01,198316,HYDROCHLOROTHIAZIDE 25 MG / TRIAMTERENE 37.5 MG ORAL CAPSULE,rximage/image/images/gallery/1024/00781-2074-01_RXNAVIMAGE10_9D34CEF6.jpg,,[],,,1233
